訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
健行學校財團法人健行科技大學,桃園市,159554,ESG綠色行銷應用班,30,17,5340,20240824,20240921
社團法人中華造型藝術學會,新北市,159563,美甲沙龍凝膠彩繪實務技法班,98,20,20400,20240908,20241208
苗栗縣產業總工會,苗栗縣,159566,皮雕工藝實務應用班,48,24,10100,20240808,20241128
苗栗縣產業總工會,苗栗縣,159567,實用手工皂與保養品應用班,54,24,11340,20240810,20241005
苗栗縣產業總工會,苗栗縣,159568,皮革文創設計實務應用班,72,24,15520,20240811,20241027
苗栗縣產業總工會,苗栗縣,159572,中山琴技能培訓班,36,14,6260,20240903,20241126
苗栗縣產業總工會,苗栗縣,159573,EXCEL基礎應用班,30,20,5250,20240906,20241108
花蓮縣總工會,花蓮縣,159575,皮雕創作應用班,54,22,10150,20240812,20240923
新北市冰果冷飲服務業職業工會,新北市,159579,糖花文創實務班,35,36,6960,20240831,20240928
社團法人新北市板橋口才發展協會,新北市,159580,職場職能軟技術培訓—溝通技能：AI簡報生成速班,36,25,7170,20240820,20241105
社團法人新北市板橋口才發展協會,新北市,159585,職場行銷溝通表達技巧班,36,20,7170,20240812,20241028
桃園市保險業務職業工會,桃園市,159586,多元保險行銷經營應用實務班,42,20,7910,20240903,20241022
桃園市保險業務職業工會,桃園市,159587,車禍調解理賠處理專業人才實務班,42,25,7060,20240906,20241025
桃園市保險業務職業工會,桃園市,159588,稅務規劃暨投資理財應用實務班,48,25,7870,20240911,20241030
高雄市網路自媒體從業人員職業工會,高雄市,159590,手機攝影與影片剪輯班,48,20,7900,20240908,20241027
屏東縣傳統整復員職業工會,屏東縣,159601,傳統整復推拿實務班,63,18,10900,20240818,20241013
花蓮縣總工會,花蓮縣,159604,生活飾品拼布應用班,54,22,10150,20240904,20241023
臺北市芳薰香植物精油服務人員職業工會,臺北市,159609,精油調配實作班,56,30,12500,20240824,20241012
臺北市百貨公司售貨業職業工會,臺北市,159610,網路社群行銷與企劃班,45,18,8520,20240903,20241029
